Epsilon:0.720104,-0.946535;0.467343,-0.938683;0.217684,-0.879007;-0.0259785,-0.78779;-0.26398,-0.677536;-0.494346,-0.553606;-0.671168,-0.37692;-0.672891,-0.135348;-0.499824,0.0423367;-0.265031,0.148433;-0.0110668,0.190543;0.246505,0.190543;0.068137,0.155556;-0.149583,0.273022;-0.189559,0.500108;-0.00707873,0.662867;0.229002,0.7674;0.481868,0.811562;0.743709,0.820309;1,0.785322;
Alpha:0.18736,-0.793224;0.166621,-0.606395;0.133536,-0.421303;0.0816511,-0.238699;0.00462811,-0.0643837;-0.102234,0.0909854;-0.227741,0.229706;-0.388131,0.316723;-0.473322,0.193532;-0.421833,0.0207809;-0.323357,-0.125934;-0.174435,-0.185396;-0.0636991,-0.0633512;0.019682,0.0961902;0.138939,0.223141;0.310868,0.277082;0.501056,0.265585;0.679253,0.206217;0.846316,0.113063;1,-0.0004045;
Beta:-1,0.642482;-0.973324,0.41573;-0.928407,0.188075;-0.842446,-0.0283075;-0.714159,-0.23153;-0.536847,-0.389377;-0.326466,-0.503837;-0.0951241,-0.570753;0.142946,-0.602403;0.381758,-0.620187;0.613778,-0.620187;0.564998,-0.421631;0.421409,-0.236513;0.400067,-0.0204029;0.532019,0.147117;0.513058,0.304585;0.308405,0.384613;0.0796667,0.431654;-0.150805,0.464642;-0.386449,0.464642;
Gamma:-0.781576,-0.775601;-0.575311,-0.534031;-0.34897,-0.298006;-0.118783,-0.0678194;0.11656,0.156077;0.341632,0.383598;0.487122,0.659403;0.265521,0.808022;-0.0519115,0.763033;-0.350148,0.641327;-0.624972,0.473384;-0.745584,0.196706;-0.611464,-0.0900684;-0.368412,-0.302845;-0.109155,-0.494249;0.0623183,-0.498572;0.215344,-0.237572;0.514421,-0.163747;0.793001,-0.298666;1,-0.541657;
Delta:0.855924,-0.775003;0.716603,-0.937597;0.481145,-1;0.234397,-0.970653;0.0143772,-0.872573;-0.175844,-0.707089;-0.278203,-0.482806;-0.298407,-0.232157;-0.216705,0.00469516;-0.0799552,0.217881;0.0888482,0.40463;0.271611,0.57761;0.371431,0.760842;0.122941,0.731495;-0.125549,0.702148;-0.357101,0.647887;-0.513621,0.507133;-0.447013,0.330414;-0.240155,0.222807;-0.0636275,0.124983;
Epsilon:0.615245,-0.973407;0.3771,-0.919742;0.133686,-0.856492;-0.101899,-0.757194;-0.313821,-0.612757;-0.499852,-0.438943;-0.63136,-0.222378;-0.556026,-0.000786179;-0.32157,0.0917433;-0.0675703,0.119297;0.189901,0.112658;0.19884,0.0500407;-0.0310739,0.126957;-0.22352,0.277456;-0.213168,0.491318;-0.00850182,0.634868;0.231892,0.696429;0.489114,0.704124;0.745655,0.688733;1,0.657953;
Alpha:0.34645,-0.848224;0.280462,-0.655609;0.20111,-0.459366;0.129308,-0.256375;0.0387199,-0.0597858;-0.0855112,0.11601;-0.235146,0.272382;-0.409118,0.399191;-0.605011,0.472351;-0.637243,0.271;-0.583342,0.0719312;-0.459185,-0.0964905;-0.282449,-0.201412;-0.105725,-0.13479;0.0390894,0.00328677;0.213676,0.110498;0.405742,0.175222;0.613415,0.202846;0.824483,0.179433;1,0.0613554;
Beta:-1,0.540572;-1,0.230503;-0.948889,-0.058394;-0.82111,-0.317811;-0.603879,-0.519997;-0.334688,-0.654589;-0.0371487,-0.711657;0.266887,-0.737213;0.576955,-0.737213;0.865565,-0.700784;0.70123,-0.496211;0.48223,-0.28434;0.380007,-0.0240993;0.586035,0.133263;0.630026,0.328886;0.422911,0.523223;0.158558,0.655572;-0.130041,0.718395;-0.439668,0.719461;-0.654998,0.617239;
Gamma:-0.428547,-0.761237;-0.266994,-0.513815;-0.0562875,-0.27969;0.173022,-0.0659925;0.38659,0.16483;0.523818,0.43702;0.334715,0.640864;0.0245399,0.675116;-0.290645,0.666657;-0.599693,0.620473;-0.887739,0.512563;-0.901235,0.234471;-0.68072,0.013955;-0.417331,-0.155758;-0.152236,-0.319371;0.110766,-0.480212;0.22115,-0.283278;0.471626,-0.167961;0.765585,-0.24591;1,-0.448986;
Delta:0.849414,-0.935028;0.60904,-1;0.335448,-0.98028;0.0749794,-0.909798;-0.137928,-0.751719;-0.180859,-0.488652;-0.0778222,-0.237022;0.0707689,-0.00583251;0.250064,0.201308;0.438347,0.398873;0.570962,0.61619;0.357753,0.726134;0.0797036,0.726404;-0.196267,0.717123;-0.462783,0.666463;-0.706026,0.551998;-0.708038,0.343972;-0.487842,0.188063;-0.282958,0.0315751;-0.0601964,-0.0346986;
